organisation_name,organisation_code,period,number_of_funerals,cost,number_of_burials,number_of_cremations
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2015/16,5,NA,1,4
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2016/17,4,3671.22,3,1
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2017/18,4,3409,4,0
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2018/19,3,3500,0,3
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2019/20,2,1573.35,2,0
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2020/21,8,9500,4,4
