OrganisationLabel,OrganisationURI,EffectiveDate,UPRN,AssetCode,PropertyName,StreetNumber,StreetName,PostTown,PostCode,CoordinateReferenceSystem,GeoX,GeoY,TenureType,TenureDetail,OtherDetail,HoldingType,BuildingSize,LandArea,EnergyRating
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,10070406602,TMBC0333,Seymour Park Primary School,,Northumberland Road,Stretford,M16 9QE,WGS84,-2.27217,53.45861,Freehold,Owner Occupied,School,Land/Buildings,,,C
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,100012702281,TMBC0334,Springfield Primary School,,Springfield Road,Sale,M33 7XS,WGS84,-2.32096,53.42358,Freehold,Owner Occupied,School,Land/Buildings,,,D
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,10070492267,TMBC0335,"St Ann's RC Primary School, Stretford",,Derbyshire Lane,Stretford,M32 8LF,WGS84,-2.30408,53.44824,Freehold,Owner Occupied,School,Land/Buildings,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,10070405641,TMBC0336,St Hugh of Lincoln RC Primary School,110,Glastonbury Road,Stretford,M32 9PD,WGS84,-2.33707,53.45312,Freehold,Owner Occupied,School,Land/Buildings,,,C
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,10070408542,TMBC0337,St Hugh's RC Primary School,,Park Road,Altrincham,WA15 6TQ,WGS84,-2.33616,53.40205,Freehold,Owner Occupied,School,Land/Buildings,,,D
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,10070406312,TMBC0338,St Joseph's RC Primary School,,Marlborough Road,Sale,M33 3AF,WGS84,-2.31868,53.42251,Freehold,Owner Occupied,School,Land/Buildings,,,D
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,10070405082,TMBC0339,St Margaret Ward RC Primary School,,Cherry Lane,Sale,M33 4GY,WGS84,-2.3566,53.41385,Freehold,Owner Occupied,School,Land/Buildings,,,D
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,10070408543,TMBC0340,St Matthew's CE Primary School,,Poplar Road,Stretford,M32 9AN,WGS84,-2.31581,53.44066,Freehold,Owner Occupied,School,Land/Buildings,,,E
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,10070408559,TMBC0341,St Michael's CE Primary School,,The Grove,Urmston,M41 6JB,WGS84,-2.38178,53.44307,Freehold,Owner Occupied,School,Land/Buildings,,,D
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,200000334040,TMBC0342,St Monica's RC Primary School,,Woodsend Road South,Urmston,M41 6QB,WGS84,-2.39141,53.44665,Freehold,Owner Occupied,School,Land/Buildings,,,C
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,10070408551,TMBC0343,St Teresa's RC Primary School,,St Teresas Road,Stretford,M16 0GQ,WGS84,-2.28334,53.45203,Freehold,Owner Occupied,School,Land/Buildings,,,D
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,10070408524,TMBC0344,St. Alphonsus RC Primary School,,Hamilton Street,Stretford,M16 7PT,WGS84,-2.26382,53.46338,Freehold,Owner Occupied,School,Land/Buildings,,,D
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,10070408651,TMBC0345,St. Vincent's RC Primary School,,Osborne Road,Altrincham,WA15 8EY,WGS84,-2.34361,53.38949,Freehold,Owner Occupied,School,Land/Buildings,107.09,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,200000334878,TMBC0346,Stamford Park Primary School,29,Cedar Road,Altrincham,WA15 9JB,WGS84,-2.34062,53.38238,Freehold,Owner Occupied,School,Land/Buildings,,,D
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,10070408540,TMBC0347,Templemoor School,,Nursery Close,Sale,M33 2EG,WGS84,-2.30255,53.42241,Freehold,Owner Occupied,School,Land/Buildings,,,D
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,100012710590,TMBC0348,Urmston Junior School,,Hereford Grove,Urmston,M41 5AJ,WGS84,-2.35994,53.44952,Freehold,Owner Occupied,School,Land/Buildings,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,100012710589,TMBC0349,Urmston Primary School,,Wycliffe Road,Urmston,M41 5AH,WGS84,-2.35956,53.44986,Freehold,Owner Occupied,School,Land/Buildings,,,D
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,100012699628,TMBC0350,Victoria Park Junior School,,Davyhulme Road East,Stretford,M32 OXZ,WGS84,-2.30422,53.450920000000004,Freehold,Owner Occupied,School,Land/Buildings,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,10070446012,TMBC0351,Well Green Primary School,,Briony Avenue,Altrincham,WA15 8QA,WGS84,-2.3164,53.37592,Freehold,Owner Occupied,School,Land/Buildings,,,D
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,10070405255,TMBC0352,Wellfield infants School,,Church Lane,Sale,M33 5QW,WGS84,-2.33934,53.42911,Freehold,Owner Occupied,School,Land/Buildings,,,D
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,10070405255,TMBC0353,Wellfield Junior School.,,Dumber Lane,Sale,M33 5QX,WGS84,-2.33742,53.43041,Freehold,Owner Occupied,School,Land/Buildings,,,D
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,100012800221,TMBC0354,Willows Primary School,,Victoria Road,Altrincham,WA15 6PP,WGS84,-2.33017,53.39664,Freehold,Owner Occupied,School,Land/Buildings,,,D
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,100012701455,TMBC0355,Woodheys Primary School,,Meadway,Sale,M33 4PG,WGS84,-2.34548,53.41377,Freehold,Owner Occupied,School,Land/Buildings,,,D
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,100012710951,TMBC0356,Woodhouse Primary School,,Nursery Road,Urmston,M41 7WW,WGS84,-2.37091,53.45817,Freehold,Owner Occupied,School,Land/Buildings,,,D
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,10070446005,TMBC0357,Worthington Primary School,,Worthington Road,Sale,M33 2JJ,WGS84,-2.29463,53.42086,Freehold,Owner Occupied,School,Land/Buildings,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,10070408564,TMBC0358,Blessed Thomas Holford RC High School,,Urban Road,Altrincham,WA15 8HT,WGS84,-2.34138,53.38712,Freehold,Owner Occupied,School,Land/Buildings,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,10070406852,TMBC0359,Lostock College,,Selby Road,Stretford,M32 9PL,WGS84,-2.3306,53.45453,Freehold,Owner Occupied,School,Land/Buildings,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,100012700737,TMBC0360,Sale High School,,Norris Road,Sale,M33 3JR,WGS84,-2.30404,53.41436,Freehold,Owner Occupied,School,Land/Buildings,,,D
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,100012699734,TMBC0361,Stretford Grammar School,,Edge Lane,Stretford,M32 8JB,WGS84,-2.29796,53.44378,Freehold,Owner Occupied,School,Land/Buildings,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,100012699479,TMBC0362,Stretford High School,,Great Stone Road,Stretford,M32 0XA,WGS84,-2.29364,53.45741,Freehold,Owner Occupied,School,Land/Buildings,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,200000333939,TMBC0363,Delamere School,91,Irlam Road,Urmston,M41 6AP,WGS84,-2.39639,53.44769,Freehold,Owner Occupied,School,Land/Buildings,,,D
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,200000334793,TMBC0364,Egerton School,,Kingsway Park,Davyhulme,M41 7FZ,WGS84,-2.34321,53.45993,Freehold,Owner Occupied,School,Land/Buildings,,,C
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,100012701471,TMBC0365,Brentwood School (Sale),,Cherry Lane,Sale,M33 4GY,WGS84,-2.35813,53.41349,Freehold,Owner Occupied,School,Land/Buildings,1342,,D
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,100012797917,TMBC0366,Trafford MES,,Brentwood Avenue,Timperley,WA14 1SR,WGS84,-2.34323,53.39831,Freehold,Other,School,Land/Buildings,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,10070446225,TMBC0367,Altrincham Golf Course,,Stockport Road,Timperley,WA15 7LP,WGS84,-2.33739,53.38992,Freehold,Other,Leisure,Land/Buildings,,,C
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,10070446128,TMBC0368,Old Trafford Sports Barn,,St Hildas Road,Old Trafford,M16 9PQ,WGS84,-2.27341,53.46039,Freehold,Other,Undocumented Tenancy,Land/Buildings,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,,TMBC0369,Timperley Athletics Stadium,,Park Road,Timperley,WA15 7UF,WGS84,-2.32052,53.39838,Freehold,Other,Management agreement,Land/Buildings,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0370,Land known as 29-31 Brook Road,,,Urmston,M41,WGS84,-2.37519,53.45041,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,100011667606,TMBC0371,12 Norton Street,12,Norton Street,Stretford,M16 7GQ,WGS84,-2.26329,53.45774,Freehold,Leasehold Out,,Buildings,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,100012892988,TMBC0374,"Denzell Gardens , Bungalow",,,Bowdon,WA14,,,,Freehold,Vacant,,Buildings,65,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,100012892988,TMBC0375,"Denzell Gardens, House semi derelict",157,Dunham Road,Bowdon,WA14 4QE,WGS84,-2.37132,53.38259,Freehold,Leasehold Out,,Buildings,210,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,,TMBC0376,Former Partington Library Site,,,Partington,M31,,,,Freehold,Vacant,,Buildings,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,10070456988,TMBC0377,Former Friars Court Site,,,Sale,M33,WGS84,-2.31973,53.42495,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,100012799589,TMBC0378/J0000085,Watling Gate (Derelict),,,Timperley,WA15,,,,Freehold,Vacant,,Buildings,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,,TMBC0379,Land at Denmark Street,,,Altrincham,WA14,WGS84,-2.34902,53.38537,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,,TMBC0380,Land at Stokoe Avenue,,Stokoe Avenue,Altrincham,WA14 4LF,WGS84,-2.37708,53.39335,Freehold,Leasehold Out,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,,TMBC0381,Altrincham War Memorial,,"St Margarets Rest Garden, dunham Road",Altrincham,WA14 2BE,WGS84,-2.36273,53.38612,Freehold,Owner Occupied,Memorial,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,,TMBC0382,Bowdon War Memorial,,Devisdale Road / St Margarets Road,Bowdon,WA14,,,,Freehold,Owner Occupied,Memorial,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,,TMBC0383,Hale Barns War Memorial,,Wicker Lane,Hale Barns,WA15 0HE,WGS84,-2.31547,53.36989,Freehold,Leasehold Out,Memorial,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,,TMBC0384,Davyhulme War Memorial,,Davyhulme Circle,Davyhulme,M41 0SS,WGS84,-2.35723,53.45755,Freehold,Owner Occupied,Memorial,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,,TMBC0385,Hale War Memorial,,Broomfield Road,Hale,WA15 9HJ,,,,Freehold,Other,Parks,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,,TMBC0386,Partington War Memorial,,Warburton Rod,Partington,M31 4BU,WGS84,-2.42791,53.42034,Freehold,Other,Memorial,Land,,,
