OrganisationLabel,OrganisationURI,EffectiveDate,UPRN,AssetCode,PropertyName,StreetNumber,StreetName,PostTown,PostCode,CoordinateReferenceSystem,GeoX,GeoY,TenureType,TenureDetail,OtherDetail,HoldingType,BuildingSize,LandArea,EnergyRating
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0419,Land at the junction of Derbyshire Lane and Victoria Road. Now part of the site of Victoria Courts. Stretford,,Derbyshire Lane,Stretford,M32 0BR,,,,Freehold,Other,Land,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0420,"Land at Chester Road, Stretford",,Chester Road,Stretford,M32,,,,Freehold,Other,Land,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0421,"Land fronting to Temple Road, Broad Road and Dane Road. Site of Moorlands Junior School, Sale",,Temple Road,Sale,M33 2LP,WGS84,-2.30104,53.42486,Freehold,Other,Land,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0422,"Land adjoining Arnesby Avenue, Sale",,,Sale,M33,WGS84,-2.29635,53.4273,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0423,"Land between Dalebrook Road and Baguley Brook, Sale",,Dalebrook Road,Sale,M33 3JY,WGS84,-2.31206,53.41007,Freehold,Other,Land,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0424,"Land at Humphrey Road and Stanley Road, Old Trafford",,Humphrey Road,Stretford,M16 9DW,WGS84,-2.27115,53.46221,Freehold,Other,Land,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0425,"Land at the northern side of Humphrey Road, Old Trafford, Stretford adjoining 109 Humphrey Road",,,Stretford,M16,WGS84,-2.2716,53.46213,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0426,"Land lying between 361 and 365 Washway Road, known as 'Lonsdale Rest Park', Sale",,,Sale,M33,WGS84,-2.34305,53.40957,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0427,"Land at the junction of Barrington Road and Ellesmere Road, Altrincham",,,Altrincham,WA14,WGS84,-2.34987,53.39437,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0428,"Land adjoining Newton Road and Timperley Brook, Altrincham",,,Altrincham,WA14,WGS84,-2.34485,53.39809,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0429,"Land adjoining the River Mersey, Ashton Upon Mersey, Sale",,,Sale,M33,,,,Freehold,Leasehold Out,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0430,"Littlefields' or 'The Gun'. Land near the River Mersey, Ashton upon Mersey, Sale",,,Sale,M33,,,,Freehold,Leasehold Out,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0431,"Two plots of 4 acres and 1.15 acres, adjoining the River Mersey in Sale",,,Sale,M33,,,,Freehold,Leasehold Out,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0432,"Ash Platt', land adjoining the River Mersey, Ashton Upon Mersey, Sale",,,Sale,M33,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0433,"Land in Urmston Meadows, Urmston. South of the River Mersey, North of Carrington Lane",,,Urmston,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0434,"Land forming part of Mersey Farm, Carrington Lane, Ashton-on-Mersey, Sale",,Carrington Lane,Sale,M33 5BL,WGS84,-2.35684,53.43054,Freehold,Other,Land,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0435,"Land at the junction of Dunham Road and Market Street, Altrincham Town Hall, Altrincham",,Dunham Road,Altrincham,WA14 1PG,,,,Freehold,Other,Land,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0436,"Land at Stockport Road, Timperley. Golf Course, Altrincham",,Stockport Road,Altrincham,WA15 7LP,WGS84,-2.3381,53.38996,Freehold,Other,Land,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0437,"Land adjoining Sinderland Brook, R/O De Quincy Road, Timperley, Altrincham",,De Quincy Road,De Quincy Road,WA14 5PH,WGS84,-2.35087,53.40743,Freehold,Other,Land,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0438,"Land and pond 'King George V's Pool' adjoining Timperley Golf Course, Altrincham",,,Altrincham,WA15 8EY,WGS84,-2.33994,53.38836,Freehold,Other,Land,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0440,"Land fronting Moss Lane and Green Walk, part of Pickering Lodge",,Moss Lane,Timperley,WA15,,,,Freehold,Other,Land,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0441,"Land fronting Grove Lane, between Nos. 193 & 227, Timperley, Altrincham",,Grove Lane,Altrincham,WA15 6PH,,,,Freehold,Other,Land,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0442,"Land in Moss Lane, Altrincham",,Moss Lane,Altrincham,WA15,,,,Freehold,Other,Land,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0443,"Land in Stelfox Avenue, Timperley, Altrincham",,Stelfox Avenue,Altrincham,WA15 6UL,WGS84,-2.31283,53.40102,Freehold,Leasehold Out,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0444,"Land in Heyes Lane, Altrincham, situate between Nos 84 and 86",,Heyes Lane,Altrincham,WA15 6EQ,,,,Freehold,Other,Land,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0445,"Land in Stamford New Road and Police Street, Altrincham",,Stamford New Road,Altrincham,WA14,,,,Freehold,Other,Land,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0446,Land at the rear of 84 Heyes Lane,,Heyes Lane,Timperley,WA15 6EQ,,,,Freehold,Other,Land,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0447,"Land adj. Timperley Brook, Woodcote Road, Altrincham",,,Altrincham,WA14,WGS84,-2.35371,53.40615,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0448,"Land and buildings in Brewery Street, Altrincham",,Brewery Street,Altrincham,WA14,,,,Freehold,Other,Land,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0449,"Land fronting to Oxford Road, Rigby Street and Armitage Place, Altrincham",,Oxford Road,Altrincham,WA14,,,,Freehold,Leasehold Out,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0450,Land on western side of Wellfield Lane; fronting also to Old Meadow Lane,,Wellfield Lane,Altrincham,WA15,,,,Freehold,Leasehold Out,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0451,"Land, Wellfield Lane, Hale",,,Hale,WA15,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0452,"Land fronting to Grove Lane, Hale; extension to Delahays Housing Estate",,,Hale,WA15,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0453,"Land south of Carrwood, bounded by the River Bollin. Formerly part of Ross Mill Farm",,,Hale,WA15,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0454,"Land at Clay Lane, Dobbinets Lane junction for widening and improvement",,,Hale,WA15,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0455,"Land at the junction of Clay Lane and White Carr Lane, Hale",,,Hale,WA15,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0456,"Land in Bankhall Lane, near junction with Ashley Rd. parts of Nos. 283 and 285 Ashley Road",,,Hale,WA14,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0457,"Land at the junction of Davyhulme Road and Old Crofts Bank Road, Urmston",,,Urmston,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0458,Land south of Irlam Road and adjoining the railway Flixton,,,Flixton,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0459,"Land in Flixton Road (adjoining Railways lines) near its junction with Station Road, Urmston",,,Urmston,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0460,"Re -2.9 acres at the rear of 3/21 Winchester Road, Urmston. - Release of covenants",,,Urmston,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0461,"Land lying between Balfour Road and Moorside Road, Public Baths/Hall, Flixton",,,Flixton,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0462,"Land fronting to Davyhulme Rd., and Woodsend Rd. Flixton",,,Urmston,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0463,Land adjoining and to the west of Urmston Cemetery; South of Cedar Drive,,,Urmston,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0464,"Land situated in Torbay Road, Urmston",,,Urmston,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0465,"Land at the junction of Moorside Road and Crofts Bank Road, Davyhulme",,,Davyhulme,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0466,Land adjoining Riverside Drive and the River Mersey,,,Urmston,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0467,"Land, part of Ashfield Rd., in front of 28/40, Ashfield Rd., Urmston",,,Urmston,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0468,"Land south of 'Nice Ditch' or Carrs Ditch', and adjoining Cavendish Road, Urmston",,,Urmston,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0469,"Land (in front of the Victoria Hotel) Station Road, near its junction with Higher Road, Urmston",,,Urmston,M41,WGS84,-2.35098,53.44729,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0470,"Land fronting Bowfell Rd., and Flixton Rd., including No's 200/202, Flixton Rd., Urmston",,,Urmston,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0471,"Road frontage of what is now a Playing Field, fronting to Bowfell Rd., Urmston (opposite 22/34 Bowfell Road)",,,Urmston,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0472,"Road frontage of 200/202, Flixton Road, and adjoining Nursery. (Agreement)",,,Urmston,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0473,"Land on the eastside of Moorside Rd., / Marlborough Rd., junction. Marlborough Nursery School, Flixton",,,Urmston,M41,,,,Leasehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0474,"Land between No. 3, Marlborough Rd., and the Nursery School in Moorside Road, Flixton",,,Urmston,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0475,"Land adjoining Westbourne House, Westbourne Park. Exchange",,,Urmston,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0476,"Land on the south side of Flixton Rd., Site of 1/27, (odd No's only) Acregate",,,Urmston,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0477,"Land fronting Flixton Road, Part of Abbotsfield Park, Flixton",,,Flixton,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0478,"Land fronting to Flixton Road, former site of 'Brookside Cottage'",,,Urmston,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0479,Land east side of Flixton Rd. adjoining Flixton Station Car Park/Public conveniences (demolished),,,Urmston,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0480,"Land in front of 4/6, Woodsend Rd., (Formerly the site of 12/16, Woodsend Road, Flixton)",,,Flixton,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0481,"Land in front of 2/4, Woodsend Rd., (Former site of 4/10, Woodsend Rd.,) Flixton",,,Flixton,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0482,"Land between Ashburton Road and Reclyffe Rd., 'Dumplington Circle', Urmston",,,Urmston,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0483,"Land at the junction of Barton Road and Moss Vale Road, Urmston",,,Urmston,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0484,"Land at Shawe Hall Meadows, Urmston",,,Urmston,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0485,"Land adjoining the M60 and the River Mersey, Urmston",,,Urmston,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0486,"Land (Playing Field) Fronting Oak Road, Partington. OS 189 Sheet V111-15 1910 Edition",,,Partington,M31,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0487,"Land R/O Griffin Hotel. Between St. Mary's Road, & Stamford Road. Bowdon",,,Hale,WA14,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0488,"Land at Eaton Road, Sale",,,Sale,M33,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0489,"Land at Four Lane Ends, Flixton - Former Flixton Tip",,,Flixton,M41,,,,,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0490,"Land at the junction of New Hall Road and Wythenshawe Road, Sale",,,Sale,M33,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0491,"Land at Osborne Road, Altrincham",,,Altrincham,WA15,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0492,Land off Sunnybank Road and Brickkiln Row (north of 9/17 and 12/18 Birch Tree Close),,,Altrincham,WA14,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0493,"Land at Oldfield Road, Swale Drive and Medway Crescent, Altrincham (3 plots)",,,Altrincham,WA14,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0494,"Land s/o 2 Clifton Avenue and 3 Linden Avenue, Altrincham",,,Altrincham,WA15,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0495,"Land w/o Thurlestone Road, e/o Bickerton Road, Altincham (off Oldfield Road)",,,Altrincham,WA14,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0496,"Land adjoining Winchester Road, Stretford, to the south (between M60 motorway & properties on Hurstbrook Drive, etc)",,,Stretford,M32,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0497,"Land at Primrose Bank, s/o Sunny Bank Road, Bowdon ('Bollin Nurseries')",,,Bowdon,WA14,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0498,"Land at King's Acre, Bowdon (r/o 46/50 Eyebrook Road)",,,Hale,WA15,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0499,Land off Sandwell Drive (Glebelands Road) Sale,,,Sale,M33,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0500,"Land Fronting Bow Green Road, Bowdon (on the north side, off Dunham Road)",,,Hale,WA15,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0501,"Land on the east side of Jack Lane, Flixton adj Railway on the N. Side",,,Flixton,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0502,"Land at Hale Road, Hale Barns, Altrincham at the North End of Burnside, r/o 470/474",,,Hale,WA15,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0503,"Land at Grammar School Gardens, Stretford Road (r/o 9-16 (incl.) Turner Drive) Urmston",,,Urmston,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0504,"Land at Derbyshire Lane/Chester Road, Stretford (formerly 1000/1010 Chester Road & 2 Derbyshire Lane)",,Chester Road,Stretford,M32,,,,Freehold,Leasehold Out,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0505,"Land in Glebelands Road, between 60 Glebelands Road and 1 Ventnor Avenue, Sale",,Gleblands Road,Sale,M33,,,,Freehold,Leasehold Out,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0506,"Land between the Bridgewater Canal and Railway Line, fronting Britannia Road, Sale",,Britannia Road,Sale,M33,,,,Freehold,Leasehold Out,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0507,Land at Northenden Road Transferred to T230 (Highways - GMC),,Northenden Road,,,,,,Freehold,Leasehold Out,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0508,"Land at the rear of Clough Avenue, north of Sinderland Brook., Altrincham",,Clough Avenue,Altrincham,M33,,,,Freehold,Leasehold Out,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0509,"Land on the north side of Baguley Brook, between Washway Road and the Bridgewater Canal, Sale",,Washway Road,Sale,M33,,,,Freehold,Leasehold Out,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0510,"Land at the rear of Priory Gardens, Dane Road, Sale",,Dane Road,Sale,M33,,,,Freehold,Leasehold Out,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0511,"Land adjoining Baguley Brook, Crofts Road and Baguley Road, Sale",,Crofts Road,Sale,M33,,,,Leasehold,Leasehold Out,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0512,Land fronting to Cow Lane Sale (and right of way over Cow Lane),,Cow Lane,Sale,M33,,,,Freehold,Leasehold Out,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0513,Land at the junction of Marsland Road and Derbyshire Road Sale 'Moorside Nurseries',,,Sale,M33,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0514,"Land at the junction of Chapel Road and Claremont Road, Sale",,,Sale,M33,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0515,"Land fronting to John St., Hayfield St., Sibson Rd. Hereford St. - Part of the 'Tesco' Site., Sale",,,Sale,M33,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0516,"Land between Kickety Brook and the River Mersey, Stretford and Right of Way over Bradley Lane to Chester Road",,,Stretford,M32,,,,Freehold,Leasehold Out,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0517,"2 plots of land adjacent to the River Mersey, Stretford (partly in Urmston)",,,Stretford,M32,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0518,"Land at the junction of Northumberland Road and Stanley Road. O/T, Stretford",,,Stretford,M32,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0519,"Land at the junction of Great Stone Road and Kings Road, Stretford.",,,Stretford,M32,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0520,"Land and Premises at junction of Trafford Rd., and Trafford Wharf Rd",,,Old Trafford,M17,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0521,Land at Kenyon Avenue and north of Baguley Brook,,,Sale,M33,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0522,"Land, Heath Road, Hale. Rear of Altrincham Grammar School for Boys",,,Altrincham,WA14,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0523,Land at the Devisdale Bowdon. Additional land for Altrincham Girls Grammar School,,,Altrincham,WA14,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0524,"Land fronting to Norris Road, Sale Moor Secondary School",,,Sale,M33,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0525,"Land at Manor Avenue. Sale Oaklea Infants and Junior and Sale West Secondary Schools,Freehold,SCHOOL",,,Sale,M33,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0526,"Land fronting to Langley Rd. Ashton-on-Mersey Secondary Schools (Boys and Girls),Freehold,PLAYING FIELDS",,,Sale,M33,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0527,"Land at Lowton Road, Sale,SALE,Freehold,LAND",,,Sale,M33,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0528,"Land fronting both Vale Road and Mayfield Road,Freehold,LAND",,,Timperley,WA15,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0529,"Land. Queens Road/Manor Avenue, Urmston.,URMSTON,Leasehold,LAND",,,Urmston,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0530,"Land at Ascot Ave. Sale Elderly Persons' Home (36 Bed),SALE,Freehold,ELDERLY PERSONS HOME",,,Sale,M33,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0531,"Land bounded by Shaftsbury Avenue, Aimson Road, Fairywell Brook.,TIMPERLEY,None,LAND",,,Altrincham,WA15,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0532,"Land off Pennymoor Drive, Altrincham,ALTRINCHAM,,Freehold,LAND",,,Altrincham,WA14,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0533,"13.78 acres of land at Lock Lane, Partington.,PARTINGTON,Freehold,LAND",,,Partington,M31,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-01-10,,TMBC0534,"71 Wood Lane, Partington,PARTINGTON ,M31 4LW,Freehold,LAND",,,Partington,M31,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-09-29,,TMBC0535,"Part of the Churchyard of St. Matthew's Church, fronting to Chester Road, Stretford.,STRETFORD,M32 8HF,Freehold,LAND",,Chester Road,Stretford,M32 8HF,,,,Freehold,Leasehold Out,,Land,,,
