camera_id,location,area_name,area_code,lon,lat
1001,Trafford Wharf Road,Gorse Hill & Cornbrook,E05015247,-2.284777,53.464515
1002,Trafford Wharf Road/Wharfside tram stop,Gorse Hill & Cornbrook,E05015247,-2.289056,53.466406
1003,Wharfside Way/Sir Matt Busby Way,Gorse Hill & Cornbrook,E05015247,-2.289589,53.464723
1005,Chester Road (White City),Gorse Hill & Cornbrook,E05015247,-2.285219,53.46222
1006,Chester Road/Sir Matt Busby Way,Gorse Hill & Cornbrook,E05015247,-2.2880219999999998,53.461151
1007,Warwick Road (Town Hall),Gorse Hill & Cornbrook,E05015247,-2.287323,53.459559
1008,Chester Road (Tesco),Gorse Hill & Cornbrook,E05015247,-2.291368,53.459623
1009,"The Quadrant, Old Trafford",Longford,E05015250,-2.286269,53.452648
1010,Warwick Road/Talbot Road,Gorse Hill & Cornbrook,E05015247,-2.286228,53.458356
1011,Talbot Road,Gorse Hill & Cornbrook,E05015247,-2.294119,53.455013
1012,Chester Road/Davyhulme Road East,Longford,E05015250,-2.301563,53.450755
1013,Norris Road,Sale Moor,E05015255,-2.299929,53.414801
1014,Park Road/Davyhulme Road,Lostock & Barton,E05015251,-2.316642,53.452986
1015,Brooklands tram stop,Brooklands,E05015243,-2.325582,53.417326
1016,Goose Green,Altrincham,E05015239,-2.350552,53.385287
1017,Goose Green Static,Altrincham,E05015239,-2.35057,53.385267
1018,Sevenways Roundabout (Church Side),Stretford & Humphrey Park,E05015256,-2.31832,53.450619
1019,Sevenways Roundabout (Petrol Station Side),Lostock & Barton,E05015251,-2.319015,53.450699
1020,Barton Road,Lostock & Barton,E05015251,-2.325232,53.454289
1022,Trafford House (Rooftop MUFC Side),Gorse Hill & Cornbrook,E05015247,-2.289829,53.460686
1023,Trafford House (Rooftop TTH Side),Gorse Hill & Cornbrook,E05015247,-2.290462,53.460361
1024,Edge Lane,Longford,E05015250,-2.304892,53.445577
1025,Chester Road/Kingsway (Subway),Stretford & Humphrey Park,E05015256,-2.307037,53.446325
1026,Chester Road/Edge Lane (Subway),Longford,E05015250,-2.306366,53.446066
1027,"Kingsway, Stretford",Stretford & Humphrey Park,E05015256,-2.310026,53.446328
1028,"Kingsway/Barton Road, Stretford",Stretford & Humphrey Park,E05015256,-2.31274,53.44582
