OrganisationLabel,OrganisationURI,EffectiveDate,FinancialYear,ProportionPaidOnTime,InterestPaid,LiableInterest,NumberNotPaidOnTime
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2018-03-31,2017/18,91.43,0,50817.2,2891
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2019-03-31,2018/19,87.62,0,57127.96,4238
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2020-03-31,2019/20,94.98,0,35507.02,1657
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-03-31,2020/21,95.89,0,26084.43,1136
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-03-31,2021/22,95.23,0,21469.24,1298
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-03-31,2022/23,96.43,0,13645.08,1143
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2024-03-31,2023/24,96.63,0,13456.14,1096
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,2024/25,94.6,0,13618.71,1960
