OrganisationLabel,OrganisationURI,EffectiveDate,TotalRepresentativeCount,FTERepresentativesCount,TotalRepresentativesMajorityDutyCount,FTERepresentativesMajorityDutyCount,TotalEstimateSpendingAmount,RelativeEstimateSpending
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2017-03-31,9,8.1,3,2.1,73000,0.11
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2018-03-31,12,7.79,8,NA,155288.73,0.11
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2019-03-31,11,7.7,7,4.3,102524.5,0.07
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2020-03-31,10,7.93,5,3.53,121364.8,0.1
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-03-31,9,7.2,5,3.2,85582.27,0.07
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-03-31,8,7.35,5,4.35,97978.41,0.08
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2023-03-31,8,7.22,5,4.35,122467.67,0.08
