OrganisationLabel,OrganisationURI,EffectiveDate,OrganisationalUnit,BeneficiaryName,PaymentDate,Amount,IrrecoverableVATAmount,Purpose,CategoryInternalName,MerchantCategoryCode,CardTransaction
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,Navigation,Ralph Livesey Ltd,2025-03-28,313.4,0,Purchase Ralph Livesey Ltd for catering provisions,Caterers,5811,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,St Matthews Ce,Dunsters Farm Limited,2025-03-28,306.33,0,Purchase Dunsters Farm Limited for catering provisions,Other Nondurable Goods,5199,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,St Clares Rc Primary,Ralph Livesey Ltd,2025-03-28,313.74,0,Purchase Ralph Livesey Ltd for catering provisions,Caterers,5811,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,Gorse Hill,Alliance Disposables Limi,2025-03-28,156.85,0,Purchase Alliance Disposables Limi for cleaning materials,"Specialty Cleaning, Polishing, and Sanitation",2842,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,Egerton,Ralph Livesey Ltd,2025-03-28,73.5,0,Purchase Ralph Livesey Ltd for catering provisions,Caterers,5811,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,Charlestown Primary,Ralph Livesey Ltd,2025-03-28,370.83,0,Purchase Ralph Livesey Ltd for catering provisions,Caterers,5811,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,St Clares Rc Primary,Dunsters Farm Limited,2025-03-28,860.61,0,Purchase Dunsters Farm Limited for catering provisions,Other Nondurable Goods,5199,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,Alma Park,Ralph Livesey Ltd,2025-03-28,132.23,0,Purchase Ralph Livesey Ltd for catering provisions,Caterers,5811,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,New Moston Primary,Ralph Livesey Ltd,2025-03-28,298.69,0,Purchase Ralph Livesey Ltd for catering provisions,Caterers,5811,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,St Annes Ce Sale,Dunsters Farm Limited,2025-03-28,312.54,0,Purchase Dunsters Farm Limited for catering provisions,Other Nondurable Goods,5199,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,St Philips Primary,Dunsters Farm Limited,2025-03-28,278.05,0,Purchase Dunsters Farm Limited for catering provisions,Other Nondurable Goods,5199,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,Sale High School,Alliance Disposables Limi,2025-03-28,7.25,0,Purchase Alliance Disposables Limi for cleaning materials,"Specialty Cleaning, Polishing, and Sanitation",2842,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,Kings Road,Alliance Disposables Limi,2025-03-28,62.1,0,Purchase Alliance Disposables Limi for cleaning materials,"Specialty Cleaning, Polishing, and Sanitation",2842,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,Sacred Heart Primary,Ralph Livesey Ltd,2025-03-28,306.44,0,Purchase Ralph Livesey Ltd for catering provisions,Caterers,5811,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,St Philips Primary,Dunsters Farm Limited,2025-03-28,334.96,0,Purchase Dunsters Farm Limited for catering provisions,Other Nondurable Goods,5199,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,St Patricks Primary,Ralph Livesey Ltd,2025-03-28,321.28,0,Purchase Ralph Livesey Ltd for catering provisions,Caterers,5811,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,Education Services,Alliance Disposables Limi,2025-03-28,173.87,0,Purchase Alliance Disposables Limi for cleaning materials,"Specialty Cleaning, Polishing, and Sanitation",2842,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,St Matthews Ce,Ralph Livesey Ltd,2025-03-28,105.63,0,Purchase Ralph Livesey Ltd for catering provisions,Caterers,5811,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,St Philips Primary,Ralph Livesey Ltd,2025-03-28,164.64,0,Purchase Ralph Livesey Ltd for catering provisions,Caterers,5811,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,St Edmunds Primary,Ralph Livesey Ltd,2025-03-28,247.39,0,Purchase Ralph Livesey Ltd for catering provisions,Caterers,5811,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,New Moston Primary,Dunsters Farm Limited,2025-03-28,404.83,0,Purchase Dunsters Farm Limited for catering provisions,Other Nondurable Goods,5199,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,St Hughs Rc,Ralph Livesey Ltd,2025-03-28,228.26,0,Purchase Ralph Livesey Ltd for catering provisions,Caterers,5811,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,Sale Grammar,Ralph Livesey Ltd,2025-03-28,556.21,0,Purchase Ralph Livesey Ltd for catering provisions,Caterers,5811,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,Alma Park,Dunsters Farm Limited,2025-03-28,77.2,0,Purchase Dunsters Farm Limited for catering provisions,Other Nondurable Goods,5199,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,New Moston Primary,Dunsters Farm Limited,2025-03-28,318.57,0,Purchase Dunsters Farm Limited for catering provisions,Other Nondurable Goods,5199,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,St Annes Ce Sale,Ralph Livesey Ltd,2025-03-28,115.24,0,Purchase Ralph Livesey Ltd for catering provisions,Caterers,5811,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,Sale Grammar,Ralph Livesey Ltd,2025-03-28,119.99,0,Purchase Ralph Livesey Ltd for catering provisions,Caterers,5811,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,Woodhouse,Ralph Livesey Ltd,2025-03-28,185.55,0,Purchase Ralph Livesey Ltd for catering provisions,Caterers,5811,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,St Antonys,Dunsters Farm Limited,2025-03-28,676.96,0,Purchase Dunsters Farm Limited for catering provisions,Other Nondurable Goods,5199,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,St Monicas Rc,Ralph Livesey Ltd,2025-03-28,180.48,0,Purchase Ralph Livesey Ltd for catering provisions,Caterers,5811,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,Bth,Ralph Livesey Ltd,2025-03-28,449.26,0,Purchase Ralph Livesey Ltd for catering provisions,Caterers,5811,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,Alma Park,Dunsters Farm Limited,2025-03-28,465.67,0,Purchase Dunsters Farm Limited for catering provisions,Other Nondurable Goods,5199,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,St Antonys,Dunsters Farm Limited,2025-03-28,81.6,0,Purchase Dunsters Farm Limited for catering provisions,Other Nondurable Goods,5199,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,Lostock High,Ralph Livesey Ltd,2025-03-28,260.49,0,Purchase Ralph Livesey Ltd for catering provisions,Caterers,5811,GPC
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-03-31,Oldfield Brow,Ralph Livesey Ltd,2025-03-28,180.2,0,Purchase Ralph Livesey Ltd for catering provisions,Caterers,5811,GPC
